City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,port-vila,-17.7338,168.3219,26.78,74,75,4.12,VU,1701044156
168,bikenibeu village,1.3673,173.1241,28.93,69,85,2.03,KI,1701044163
169,garoowe,8.4054,48.4845,22.54,71,83,3.18,SO,1701044163
170,kerikeri,-35.2268,173.9474,20.51,72,72,0.89,NZ,1701044163
171,kapuskasing,49.4169,-82.4331,-0.95,100,100,4.12,CA,1701044164
172,miandrivazo,-19.5167,45.4667,27.75,66,68,1.57,MG,1701044164
173,novo aripuana,-5.1206,-60.3797,25.39,75,99,0.86,BR,1701044164
174,kattivakkam,13.2167,80.3167,27.26,89,83,3.31,IN,1701044164
175,walvis bay,-22.9575,14.5053,15.61,82,60,4.36,NA,1701044164
176,zhezqazghan,47.7833,67.7667,2.08,52,100,5.31,KZ,1701044164
177,goz beida,13.95,20.55,25.91,20,29,4.11,TD,1701044164
178,xilin hot,43.9667,116.0333,-13.37,94,99,2.48,CN,1701044165
179,geraldton,-28.7667,114.6,23.23,56,100,5.14,AU,1701044165
180,adam,22.3756,57.5233,19.45,76,3,1.6,OM,1701044165
181,nagqu,31.5,92.0,-11.25,52,85,1.33,CN,1701044165
182,belozersk,60.0326,37.7957,-11.12,91,89,2.24,RU,1701044165
183,klyuchi,52.2667,79.1667,0.22,56,76,2.94,RU,1701044165
184,vorkuta,67.5,64.0,-19.55,100,93,1.28,RU,1701044165
185,kushiro,42.975,144.3747,3.53,48,40,1.03,JP,1701044116
186,pisco,-13.7,-76.2167,20.03,77,0,7.2,PE,1701044165
187,maintirano,-18.0667,44.0167,28.14,73,81,4.0,MG,1701044166
188,kailua-kona,19.6406,-155.9956,28.06,77,75,7.2,US,1701044166
189,siwa oasis,29.2041,25.5195,17.57,51,52,2.4,EG,1701044166
190,fort frances,48.5999,-93.4003,-7.69,71,100,5.66,CA,1701044166
191,petropavlovsk-kamchatsky,53.0452,158.6483,-8.64,74,75,4.47,RU,1701043962
192,hotan,37.0997,79.9269,2.82,31,85,1.47,CN,1701044166
193,acoua,-12.7239,45.0582,25.95,75,79,2.76,YT,1701044166
194,itarantim,-15.6597,-40.0656,22.81,70,97,1.79,BR,1701044166
195,anadyr,64.75,177.4833,1.28,100,75,14.0,RU,1701044166
196,brigantine,39.4101,-74.3646,13.35,97,100,8.23,US,1701044166
197,tazacorte,28.629,-17.9293,18.97,74,0,4.12,ES,1701044167
198,pacific grove,36.6177,-121.9166,17.44,45,0,1.54,US,1701044167
199,freeport,40.6576,-73.5832,11.67,83,100,8.49,US,1701044167
200,san luis de la loma,17.2706,-100.8939,26.73,77,82,1.14,MX,1701044167
201,pangoa,-12.1167,-73.0,19.7,96,71,0.27,PE,1701044167
202,puerto ayora,-0.7393,-90.3518,24.75,90,50,2.68,EC,1701044167
203,aral,40.5156,81.2636,2.3,40,47,1.11,CN,1701044167
204,berezovyy,51.6667,135.7,-14.57,54,8,4.38,RU,1701044168
